id,title,authors_abbrev,year,venue,abstract,doi_link,filter1,filter2,filter3,filter4,Uncleaned Tags,Canon Tags,info2,info3
1,"Participatory Digital Mapping, Dynamic Data, and Children’s Emergent Science Argumentation About Local Socio-Ecological Systems
",Van Wart et al.,2020,Journal of the Learning Sciences,"Over the last two decades, there has been an increasing focus on spatial technologies in teaching and learning, revealing the potential to support new forms of youth sensemaking across varied settings and modalities. Recent scholarship has shown the possibilities of participatory digital mapping technologies, enabling young people to collect data within community settings and create interactive data-rich maps about complex phenomena and processes that build from their local expertise and inquiries. Yet to date, these technologies and related pedagogies remain less researched within K-5 educational contexts. In this article, we examine the most recent iteration from a multi-year design research project that centered 5th grade students’ learning about socio-ecological systems by engaging in participatory digital mapping to study their schoolyard soil ecosystems underfoot. We examine the possibilities of centering digital participatory map making as a basis for modeling and argumentation in elementary science. Analyzing whole class discussion video within the 10-week curriculum, we show how children authored their collective maps in numerous ways, making visible their social and ecological knowledge of the schoolyard, as well as their experiences defining, producing and visualizing qualitative and quantitative data. As part of this broader design-based research project, we find that children were able to reason about complex socio-ecological systems across spatial, temporal, and relational dimensions in inventive ways, often considered out of reach for elementary aged students, while also expanding what could count as data and what ways of knowing were valued within the science classroom. Implications for science education, place-based education, and emerging geospatial technologies are discussed.

",https://doi.org/10.1007/s10956-024-10152-6,"elementary school, formal education",elementary education,"mapping, science, ecology, civics",,,,,
2,Exploring alternative discourses about datafication in a speculative youth participatory action research curriculum ,Aleman,2023,Information and Learning Sciences,"This paper aims to address the limitations in designing educational approaches that apply critical approaches to data literacy, given the obscure nature of digital platforms, which leave youth unable to develop discourses that challenge dominant narratives about the role of data in their lives. The purpose of this study is to propose and evaluate a critical data literacy approach that empowers youth to engage with data from a sociocultural perspective using a speculative participatory research approach that affords opportunities to develop alternative discourses.
Design/methodology/approach: This is a multiple-case study that involves five alternative schools in Uruguay which implemented the Nayah-Irú curriculum over ten weeks leading to the development of six distinct research projects about the materialization of data in youth lives. The curriculum incorporates an alternate reality game (ARG) to engage youth in critical data literacy, based on the principles of Youth Participatory Action Research (YPAR) epistemology and Speculative Civic Literacies.
Findings: The findings of this study highlight the integration of speculative storytelling and real-life experiences in developing alternative discourses about datafication. The analysis revealed instances of discursive closure among the youth, but through the curriculum's speculative fiction elements, such as the narrative of Nayah-Irú, emotional connections were formed, leading to increased engagement, critical inquiry, and problem framing.
Research limitations/implications: The study conducted on the Nayah-Irú curriculum shows its effectiveness in engaging youth and educators in critical data literacy by affording opportunities for youth to engage in the analysis of their personal data literacies in an alternative world. Bringing speculative approaches to data literacy can open new avenues for exploring data literacy with youth in ways that center their voices and help them overcome different forms of discursive closure.
Originality/value: This study offers new insights into critical data literacy education blending youth participatory action research epistemologies with a speculative literacies framework to support youth in developing alternative discourses regarding the role of data in their lives.",https://doi.org/10.1108/ILS-06-2023-0079,"game-based learning, alternative schools",high school,"data, civics",,,,,
3,“We are all Learning Here!”: Negotiations of Power within an Intergenerational Participatory Design Research Project,Allen and Hill,2024,International Conference of the Learning Sciences,"In this paper, we examine the ways power and privilege were negotiated within the context of a participatory design research project focused on data science as a means to pursuing environmental and social justice through community-engaged projects. Using critical ethnography and interaction analysis methodologies, we explore relational dynamics among the project team – which included high school youth, science educators, graduate students, and university faculty – as they negotiated meanings and action related to local research projects. We draw conceptually on Holland and Lave (2009) and Gutiérrez et al (2019) to understand participants as historical actors and their negotiations of self and possible futures in the context of our program. We consider social positioning and authoring of who has knowledge, who has authority, and who is learning in interactional dynamics among the project team over a two-day kickoff meeting. We highlight the ways youth engage productive resistance to youth-adult hierarchies.",https://doi.org/10.22318/icls2024.816802,"informal learning, community-based","high school, educators, intergenerational learning","data, science, STEM, environmental science, health",,,,,
4,Reimagining Community Futures: Supporting Science Teachers and Students as Climate Justice Action Researchers and Change Agents,Visintainer et al.,2025,International Conference of the Learning Sciences,"To explore the interrelated issues of racial and climate justice, this study examines how engaging teachers and students in climate justice action research (CJAR), a novel approach to community-based science at the intersection of history, race, place, and community health, supports learning, identity construction, and opportunities for reimagining sustainable futures. Using teacher/student interviews, surveys, and classroom observations this study examines: 1) How participation in a year-long professional learning experience shaped science teachers’ knowledge and practice as they designed/implemented CJAR units in their classrooms, and 2) How engaging in CJAR practices (e.g., science, mapping, arts-based storytelling) shaped student learning, identity construction, and the futures they imagined for themselves and their communities. Findings show that teachers were empowered as designers of climate justice experiences that fostered a shared sense of humanity, and that engaging in CJAR practices supported student identity construction, critical sense making, and provided opportunities to reimagine just community futures.",https://doi.org/10.22318/icls2025.108258,"formal education, public school","high school, teenagers, teachers","history, civics, environmental science",,,,,
5,Library space planning: a participatory action research approach ,Somerville and Brown-Sica,2011,The Electronic Library,"Libraries required to accommodate new services within existing facilities can benefit from an inclusive planning approach which produces a design concept and project phases for repurposing space. In the process, organizational decision making can move from print‐centered to program‐driven through intention use of information to learn. This paper seeks to explore this issue.
Design/methodology/approach: Participatory action research (PAR) offers an action‐oriented and learning‐centered approach to (re)design of library facilities through an iterative plan‐act‐observe‐reflect cycle. Auraria Library's culminating charette illustrates the efficacy of PAR principles and practices for repurposing library facilities in response to changing user demands.
Findings: Over an 18‐month period, participatory action research activities fostered data collection and interpretation activities, preparatory to a two‐day design charette conducted with and for members of campus constituencies. In addition to clarifying design elements for project phases with estimated budgets, the inclusive inquiry processes initiated campus relationships essential to successful project implementation.
Research limitations/implications: This research study reports the latest findings in a series of North American implementation projects begun in 2003. The most ambitious to date, it involves library staff and campus stakeholders in inclusive library redesign processes.
Practical implications: Amidst dynamically changing internal and external circumstances, libraries can employ participatory action research principles and practices to use information to learn. The Auraria Library example illustrates the transferability of using inclusive information‐centered and learning‐focused approaches for organizational direction setting.
Social implications: The purpose of the action‐oriented and learning‐focused approach is to engage participants in using information to learn. Participatory action research is therefore intrinsically emancipatory.
Originality/value: A paucity of professional literature on participatory action research exists in the library and information science field. Therefore, this contribution both offers a promising approach for collaborative decision making and fills a gap in the professional knowledge base.",https://doi.org/10.1108/02640471111177099,"library, informal learning, community-based","higher education, community participation",design of learning environments,,,,,
6,"Participatory action research in the age of social media: literacies, affinity spaces and learning",Machin-Mastromatteo,2012,New Library World,"This article summarizes the developments, methodological design, and some of the theories framed within a PhD research about the integration of social media in higher education. Its aims are to determine significant issues, challenges and opportunities that emerge when social media are integrated into learning environments in higher education. ‘Doing Online Relearning through Information Skills’ (DORIS) is proposed as a research framework to address the aims, objectives, and research questions of this study. It was conceived from a Participatory Action Research perspective. This approach is intended to help discover and reflect upon teaching and learning practices in a technologically mediated educational setting. Furthermore, the concept of affinity spaces is discussed, together with its distinction from the concept of communities of practice. The data collection methods planned to conduct the study are: diagnostic questionnaire, blog, social learners' input and reports, a second questionnaire, and semi-structured interviews. The theory of affinity spaces offers a powerful way of thinking about teaching and learning processes mediated by different technologies. The heuristics that will focus the data collection and analysis are: a) on the function of content, and b) on the function of participants’ interactions with the content and/or with one another. DORIS is proposed as a powerful way to organize learning interventions through the structure of information literacy skills. It is grounded on action research and on constructivist, blended, and problem based learning. Researchers, librarians or educators can adapt this model for teaching, learning and researching about and with social media or for other technologically mediated learning environments, or could be adapted for information literacy programs.",https://doi.org/10.1108/03074801211282939,"informal learning, digital platforms, digital affinity spaces","higher education, international students","social media, information literacy, digital affinity spaces",,,,,
7,"Participatory Action Research and Information Literacy: Revising an Old New Hope for Research and Practice
",Machin-Mastromatteo et al.,2013,European Conference on Information Literacy,"This paper is a starting of a research which points toward constructing the basis for a research agenda integrating Participatory Action Research (PAR) into Information Literacy (IL) research and practice. In order to achieve this goal: a) we enumerate some pros and cons of using such methodology on IL with the pertinent literature and our own practice as IL researchers; b) we have developed a questionnaire to gather some insights from the research community in this matter; and c) we will start to seek an understanding of the possible contributions that a PAR-IL research agenda can bring to the field. The integration of PAR into IL research and practice is discussed from the three possible methodological stances: quantitative, qualitative, and a mixed methods perspective. Furthermore, we enumerate some of the pros, cons, hesitations and eagerness that researchers might have toward the idea of using PAR.

",https://doi.org/10.1007/978-3-319-03919-0_5,academic,academia,"information literacy, PAR methods",,,,,
8,Youth Science Learning as/for Community Participation: Examples from Youth Participatory Action Research,Worker et al.,2023,Journal of Youth Development,"Youth development programs often provide young people with science learning experiences. We argue for reframing youth science learning from a focus on individual scientific literacy to an emphasis on collective scientific literacy—community science—to support young people in using science to address issues in their lives and communities. We provide examples from youth participatory action research (YPAR), one community science pedagogical approach. The YPAR model supports youth in deciding upon an environmental, economic, or social issue; designing and implementing research; and using their research findings to improve their community. We implemented YPAR with eight cohorts of youth over three years at five schools in Northern California. Using data generated from educator interviews and youth focus groups and analyzed with inductive thematic analysis, we explored what youth and educators reported about science engagement and learning. While YPAR projects offered opportunities for youth to strengthen scientific literacy, youth did not join a YPAR program because it was science education. Instead, as youth selected a personally meaningful topic, they began to see how they might affect community change. Engaging learners in relevant educational experiences situated in authentic community issues may improve motivation for deeper and sustained participation in science learning. Our YPAR example demonstrated an approach to learning STEM in youth development programs by ensuring relevancy and connection to community.

",https://doi.org/10.34068/JYD.18.01.03,""community-based", "informal learning"", "youth of color, high school, middle school","science, civics, STEM, health, history",,,,,
9,Exploring the benefits of participatory action research to a participatory data stewardship community project: the Round ‘Ere case study on data and well-being,Rempel et al.,2025,Frontiers Digital Health,"Introduction: Traditional data and measures about health and well-being provide vital insights but do not provide context on the ways in which a community may want to see development in their local area. This article is based on a Participatory Action Research (PAR) project on well-being and data conducted with members of a community in Widnes, a town in the UK. We explore the usefulness of adapting a PAR methodology to develop a Participatory Data Stewardship (PDS) program at the community level.
Methods: Through repeated, semi-structured interviews, we tracked 15 Community Researchers’ (CRs’) experiences and perspectives of taking part in a PDS/PAR project. CRs were purposely recruited to primarily maximize diversity in gender, age, and socio-economic status, and interviewed before training, after training, and after fieldwork. We used thematic analysis to explore benefits and challenges, along with their expectations and experiences, at each stage of the project.
Results: Four main themes emerged from interviews with CRs on their expectations and experiences: (1) the role of CRs’ motivation in taking part on their perceptions of project impact, (2) the role and development of
confidence in CRs’ perceptions of their own success, (3) the importance of community building through an appreciation of diversity, and (4) the value in developing CR agency by putting participatory process at each stage of the project.
Discussion: The findings illustrate that taking a PAR approach to the design of a PDS project around well-being and data shows potential for problematizing datafication through engaging local communities, developing their research skills, confidence and agency, and designing a data system that can empower
community voice. This article addresses a gap in the literature on the feasibility of taking a PAR approach to the implementation of PDS. Future research should build on this study to explore the conditions for successful
PAR in the context of other PDS projects.",https://doi.org/10.3389/fdgth.2025.1520825,"community organization, informal learning","community participation, adult populations","health, data, community research, civics, research methods",,,,,
10,Contributions of Paulo Freire to a Critical Data Literacy: a Popular Education Approach,Tygel and Kirsch,2016,The Journal of Community Informatics,"Paulo Freire is the patron of education in Brazil. His main work - the Popular Education pedagogy - influences many educators all over the world who believe in education as a way of liberating poor oppressed people. One 
of the outcomes of Freire's work is a literacy method, developed in the 1960's. In this paper, we propose the adoption of elements of Freire's Literacy Method for use in a pedagogical pathway towards data literacy. 
After tracing some parallels between literacy education and data literacy, we suggest some data literacy strategies inspired on Freire's method. We also derive from it a definition for critical data literacy.",https://doi.org/10.15353/joci.v12i3.3279,"community organization, popular education","community participation, adult populations","data, civics, history",,,,,
